symbol,exchange,organ_name,industry
CIA,HNX,Công ty Cổ Phần Dịch Vụ Sân Bay Quốc Tế Cam Ranh,Hàng & Dịch vụ Công nghiệp
CHP,HSX,Công ty Cổ phần Thủy điện Miền Trung,"Điện, nước & xăng dầu khí đốt"
CET,HNX,Công ty Cổ phần HTC Holding,Hàng cá nhân & Gia dụng
CEO,HNX,Công ty Cổ phần Tập đoàn C.E.O,Bất động sản
CDN,HNX,Công ty Cổ phần Cảng Đà Nẵng,Hàng & Dịch vụ Công nghiệp
CDC,HSX,Công ty Cổ phần Chương Dương,Xây dựng và Vật liệu
CCR,HNX,Công ty Cổ phần Cảng Cam Ranh,Hàng & Dịch vụ Công nghiệp
CCL,HSX,Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Bất động sản
CCI,HSX,Công ty Cổ phần Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,"Điện, nước & xăng dầu khí đốt"
CCC,HSX,Công ty Cổ Phần Xây Dựng CDC,Xây dựng và Vật liệu
CAR,HNX,Công ty cổ phần Tập đoàn Giáo dục Trí Việt,Hàng & Dịch vụ Công nghiệp
CAP,HNX,Công ty Cổ phần Lâm Nông sản Thực phẩm Yên Bái,Tài nguyên Cơ bản
CAN,HNX,Công ty Cổ phần Đồ hộp Hạ Long,Thực phẩm và đồ uống
CAG,HNX,Công ty Cổ phần Cảng An Giang,Hàng & Dịch vụ Công nghiệp
C69,HNX,Công ty Cổ phần Xây dựng 1369,Xây dựng và Vật liệu
C47,HSX,Công ty Cổ phần Xây dựng 47,Xây dựng và Vật liệu
C32,HSX,Công ty Cổ phần Đầu tư và Xây dựng 3-2,Xây dựng và Vật liệu
BXH,HNX,Công ty Cổ phần VICEM Bao bì Hải Phòng,Hàng & Dịch vụ Công nghiệp
BWE,HSX,Công ty Cổ phần - Tổng công ty Nước - Môi trường Bình Dương,"Điện, nước & xăng dầu khí đốt"
BVS,HNX,Công ty Cổ phần Chứng khoán Bảo Việt,Dịch vụ tài chính
BVH,HSX,Tập đoàn Bảo Việt,Bảo hiểm
BTW,HNX,Công ty Cổ phần Cấp nước Bến Thành,"Điện, nước & xăng dầu khí đốt"
BTT,HSX,Công ty Cổ phần Thương mại - Dịch vụ Bến Thành,Bán lẻ
BTS,HNX,Công ty Cổ phần Xi măng VICEM Bút Sơn,Xây dựng và Vật liệu
BTP,HSX,Công ty Cổ phần Nhiệt điện Bà Rịa,"Điện, nước & xăng dầu khí đốt"
BST,HNX,Công ty Cổ phần Sách và Thiết bị Bình Thuận,Truyền thông
BSR,HSX,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Dầu khí
BSI,HSX,Công ty Cổ phần Chứng khoán BIDV,Dịch vụ tài chính
BSC,HNX,Công ty Cổ phần Dịch vụ Bến Thành,Bất động sản
BRC,HSX,Công ty Cổ phần Cao su Bến Thành,Hóa chất
BPC,HNX,Công ty Cổ phần Vicem Bao bì Bỉm Sơn,Hàng & Dịch vụ Công nghiệp
BNA,HNX,Công ty Cổ phần Tập đoàn Đầu tư Bảo Ngọc,Thực phẩm và đồ uống
BMP,HSX,Công ty Cổ phần Nhựa Bình Minh,Xây dựng và Vật liệu
BMI,HSX,Tổng Công ty Cổ phần Bảo Minh,Bảo hiểm
BMC,HSX,Công ty Cổ phần Khoáng sản Bình Định,Tài nguyên Cơ bản
BKG,HSX,Công ty Cổ phần Đầu tư BKG Việt Nam,Hàng cá nhân & Gia dụng
BKC,HNX,Công ty Cổ phần Khoáng sản Bắc Kạn,Tài nguyên Cơ bản
BID,HSX,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng
BIC,HSX,Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Bảo hiểm
BHN,HSX,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,Thực phẩm và đồ uống
BFC,HSX,Công ty Cổ phần Phân bón Bình Điền,Hóa chất
BED,HNX,Công ty Cổ phần Sách và Thiết bị trường học Đà Nẵng,Truyền thông
BCM,HSX,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Bất động sản
BCG,HSX,Công ty Cổ phần Tập đoàn Bamboo Capital,Dịch vụ tài chính
